# x86 instruction set description version 0.2, 2023-03-05
# Based on Intel Instruction Set Reference #325383-078US, December 2022.
# https://golang.org/x/arch/x86/x86spec
"AAA","AAA","aaa","37","V","I","","","","","","ASCII adjust AL after addition."
"AAD","AAD","aad","D5 0A","V","I","","pseudo","","","","ASCII adjust AX before division."
"AAD imm8","AAD imm8","aad imm8","D5 ib","V","I","","","r","","","Adjust AX before division to number base imm8."
"AAM","AAM","aam","D4 0A","V","I","","pseudo","","","","ASCII adjust AX after multiply."
"AAM imm8","AAM imm8","aam imm8","D4 ib","V","I","","","r","","","Adjust AX after multiply to number base imm8."
"AAS","AAS","aas","3F","V","I","","","","","","ASCII adjust AL after subtraction."
"ADC AL, imm8","ADCB imm8, AL","adcb imm8, AL","14 ib","V","V","","","","Y","8","Add with carry imm8 to AL."
"ADC AX, imm16","ADCW imm16, AX","adcw imm16, AX","15 iw","V","V","","operand16","","Y","16","Add with carry imm16 to AX."
"ADC EAX, imm32","ADCL imm32, EAX","adcl imm32, EAX","15 id","V","V","","operand32","","Y","32","Add with carry imm32 to EAX."
"ADC RAX, imm32","ADCQ imm32, RAX","adcq imm32, RAX","REX.W 15 id","N.E.","V","","","","Y","64","Add with carry imm32 sign extended to 64- bits to RAX."
"ADC r/m16, imm16","ADCW imm16, r/m16","adcw imm16, r/m16","81 /2 iw","V","V","","operand16","","Y","16","Add with carry imm16 to r/m16."
"ADC r/m16, imm8","ADCW imm8, r/m16","adcw imm8, r/m16","83 /2 ib","V","V","","operand16","","Y","16","Add with CF sign-extended imm8 to r/m16."
"ADC r/m16, r16","ADCW r16, r/m16","adcw r16, r/m16","11 /r","V","V","","operand16","","Y","16","Add with carry r16 to r/m16."
"ADC r/m32, imm32","ADCL imm32, r/m32","adcl imm32, r/m32","81 /2 id","V","V","","operand32","","Y","32","Add with CF imm32 to r/m32."
"ADC r/m32, imm8","ADCL imm8, r/m32","adcl imm8, r/m32","83 /2 ib","V","V","","operand32","","Y","32","Add with CF sign-extended imm8 into r/m32."
"ADC r/m32, r32","ADCL r32, r/m32","adcl r32, r/m32","11 /r","V","V","","operand32","","Y","32","Add with CF r32 to r/m32."
"ADC r/m64, imm32","ADCQ imm32, r/m64","adcq imm32, r/m64","REX.W 81 /2 id","N.E.","V","","","","Y","64","Add with CF imm32 sign extended to 64-bits to r/m64."
"ADC r/m64, imm8","ADCQ imm8, r/m64","adcq imm8, r/m64","REX.W 83 /2 ib","N.E.","V","","","","Y","64","Add with CF sign-extended imm8 into r/m64."
"ADC r/m64, r64","ADCQ r64, r/m64","adcq r64, r/m64","REX.W 11 /r","N.E.","V","","","","Y","64","Add with CF r64 to r/m64."
"ADC r/m8, imm8","ADCB imm8, r/m8","adcb imm8, r/m8","80 /2 ib","V","V","","","","Y","8","Add with carry imm8 to r/m8."
"ADC r/m8, imm8","ADCB imm8, r/m8","adcb imm8, r/m8","REX 80 /2 ib","N.E.","V","","pseudo64","","Y","8","Add with carry imm8 to r/m8."
"ADC r/m8, r8","ADCB r8, r/m8","adcb r8, r/m8","10 /r","V","V","","","","Y","8","Add with carry byte register to r/m8."
"ADC r/m8, r8","ADCB r8, r/m8","adcb r8, r/m8","REX 10 /r","N.E.","V","","pseudo64","","Y","8","Add with carry byte register to r/m64."
"ADC r16, r/m16","ADCW r/m16, r16","adcw r/m16, r16","13 /r","V","V","","operand16","","Y","16","Add with carry r/m16 to r16."
"ADC r32, r/m32","ADCL r/m32, r32","adcl r/m32, r32","13 /r","V","V","","operand32","","Y","32","Add with CF r/m32 to r32."
"ADC r64, r/m64","ADCQ r/m64, r64","adcq r/m64, r64","REX.W 13 /r","N.E.","V","","","","Y","64","Add with CF r/m64 to r64."
"ADC r8, r/m8","ADCB r/m8, r8","adcb r/m8, r8","12 /r","V","V","","","","Y","8","Add with carry r/m8 to byte register."
"ADC r8, r/m8","ADCB r/m8, r8","adcb r/m8, r8","REX 12 /r","N.E.","V","","pseudo64","","Y","8","Add with carry r/m64 to byte register."
"ADCX r32, r/m32","ADCXL r/m32, r32","adcxl r/m32, r32","66 0F 38 F6 /r","V","V","ADX","operand16,operand32","","Y","32","Unsigned addition of r32 with CF, r/m32 to r32, writes CF."
"ADCX r64, r/m64","ADCXQ r/m64, r64","adcxq r/m64, r64","66 REX.W 0F 38 F6 /r","N.E.","V","ADX","","","Y","64","Unsigned addition of r64 with CF, r/m64 to r64, writes CF."
"ADD AL, imm8","ADDB imm8, AL","addb imm8, AL","04 ib","V","V","","","","Y","8","Add imm8 to AL."
"ADD AX, imm16","ADDW imm16, AX","addw imm16, AX","05 iw","V","V","","operand16","","Y","16","Add imm16 to AX."
"ADD EAX, imm32","ADDL imm32, EAX","addl imm32, EAX","05 id","V","V","","operand32","","Y","32","Add imm32 to EAX."
"ADD RAX, imm32","ADDQ imm32, RAX","addq imm32, RAX","REX.W 05 id","N.E.","V","","","","Y","64","Add imm32 sign-extended to 64-bits to RAX."
"ADD r/m16, imm16","ADDW imm16, r/m16","addw imm16, r/m16","81 /0 iw","V","V","","operand16","","Y","16","Add imm16 to r/m16."
"ADD r/m16, imm8","ADDW imm8, r/m16","addw imm8, r/m16","83 /0 ib","V","V","","operand16","","Y","16","Add sign-extended imm8 to r/m16."
"ADD r/m16, r16","ADDW r16, r/m16","addw r16, r/m16","01 /r","V","V","","operand16","","Y","16","Add r16 to r/m16."
"ADD r/m32, imm32","ADDL imm32, r/m32","addl imm32, r/m32","81 /0 id","V","V","","operand32","","Y","32","Add imm32 to r/m32."
"ADD r/m32, imm8","ADDL imm8, r/m32","addl imm8, r/m32","83 /0 ib","V","V","","operand32","","Y","32","Add sign-extended imm8 to r/m32."
"ADD r/m32, r32","ADDL r32, r/m32","addl r32, r/m32","01 /r","V","V","","operand32","","Y","32","Add r32 to r/m32."
"ADD r/m64, imm32","ADDQ imm32, r/m64","addq imm32, r/m64","REX.W 81 /0 id","N.E.","V","","","","Y","64","Add imm32 sign-extended to 64-bits to r/m64."
"ADD r/m64, imm8","ADDQ imm8, r/m64","addq imm8, r/m64","REX.W 83 /0 ib","N.E.","V","","","","Y","64","Add sign-extended imm8 to r/m64."
"ADD r/m64, r64","ADDQ r64, r/m64","addq r64, r/m64","REX.W 01 /r","N.E.","V","","","","Y","64","Add r64 to r/m64."
"ADD r/m8, imm8","ADDB imm8, r/m8","addb imm8, r/m8","80 /0 ib","V","V","","","","Y","8","Add imm8 to r/m8."
"ADD r/m8, imm8","ADDB imm8, r/m8","addb imm8, r/m8","REX 80 /0 ib","N.E.","V","","pseudo64","","Y","8","Add sign-extended imm8 to r/m8."
"ADD r/m8, r8","ADDB r8, r/m8","addb r8, r/m8","00 /r","V","V","","","","Y","8","Add r8 to r/m8."
"ADD r/m8, r8","ADDB r8, r/m8","addb r8, r/m8","REX 00 /r","N.E.","V","","pseudo64","","Y","8","Add r8 to r/m8."
"ADD r16, r/m16","ADDW r/m16, r16","addw r/m16, r16","03 /r","V","V","","operand16","","Y","16","Add r/m16 to r16."
"ADD r32, r/m32","ADDL r/m32, r32","addl r/m32, r32","03 /r","V","V","","operand32","","Y","32","Add r/m32 to r32."
"ADD r64, r/m64","ADDQ r/m64, r64","addq r/m64, r64","REX.W 03 /r","N.E.","V","","","","Y","64","Add r/m64 to r64."
"ADD r8, r/m8","ADDB r/m8, r8","addb r/m8, r8","02 /r","V","V","","","","Y","8","Add r/m8 to r8."
"ADD r8, r/m8","ADDB r/m8, r8","addb r/m8, r8","REX 02 /r","N.E.","V","","pseudo64","","Y","8","Add r/m8 to r8."
"ADDPD xmm1, xmm2/m128","ADDPD xmm2/m128, xmm1","addpd xmm2/m128, xmm1","66 0F 58 /r","V","V","SSE2","","","","","Add packed double precision floating-point values from xmm2/mem to xmm1 and store result in xmm1."
